,classifier,3d,amazon,atlantic,amazon_test,atlantic_test,amazon_on_atlantic,atlantic_on_amazon
0,U-Net,0.8888171069519724,0.9530175925359171,0.8818145695535152,0.947257871770282,0.8883408565252571,0.8133614034973548,0.8254471927588831
1,Attention U-Net,0.9028301582054241,0.9581004122099592,0.911999767593724,0.9516401502284075,0.9198655201205588,0.8142569489063513,0.8721519273707564
2,ResNet50-SegNet,0.9025137706993289,0.9467245333730014,0.9043172149586589,0.9416153332209047,0.9025805430046848,0.7921238651513446,0.8452943832447026
3,FCN32-VGG16,0.8197782256504965,0.8592049598742441,0.7181839551711748,0.8556726268262025,0.6901692539024561,0.6797365352817503,0.7913034298276617
