,classifier,accuracy,precision,recall,f1_score,accuracy_std,precision_std,recall_std
0,U-Net,0.8846941947937011,0.9168732192593768,0.8846941947937011,0.900496321273587,0.08982562987777168,0.04676348221428434,0.08982562987777168
1,Attention U-Net,0.8828523953755697,0.9221976372319107,0.8828523953755697,0.9020962060135076,0.10684353206781373,0.04420165970077992,0.10684353206781373
2,ResNet50-SegNet,0.8669666608174642,0.915592527163881,0.8669666608174642,0.890616369202996,0.11444763701614054,0.04198269756948197,0.11444763701614054
3,FCN32-VGG16,0.7929513613382976,0.824611128750126,0.7929513613382976,0.8084714143950984,0.1094231182921487,0.057671830561511025,0.1094231182921487
