,classifier,accuracy,precision,recall,f1_score,accuracy_std,precision_std,recall_std
0,U-Net,0.9473068237304687,0.957118635854769,0.9473068237304687,0.9521874540180597,0.05267558470989205,0.03806344572396879,0.05267558470989205
1,Attention U-Net,0.9526313781738281,0.9574032348251127,0.9526313781738281,0.9550113457132768,0.03562588897012771,0.03130629322025748,0.03562588897012771
2,ResNet50-SegNet,0.9546510696411132,0.9593176279376037,0.9546510696411132,0.9569786598858873,0.03987267609550673,0.033383441312818375,0.03987267609550673
3,FCN32-VGG16,0.9057222366333008,0.9070766675622972,0.9057222366333008,0.9063989461169268,0.0700558101679575,0.06652373293093729,0.0700558101679575
