,classifier,accuracy,precision,recall,f1_score,accuracy_std,precision_std,recall_std
0,U-Net,0.975186424255371,0.9766470213835967,0.975186424255371,0.9759161763220419,0.022908675073541194,0.01991932006610463,0.022908675073541194
1,Attention U-Net,0.9779380798339844,0.9790256930312501,0.9779380798339844,0.9784815842036023,0.021114514509621745,0.019160716971491704,0.021114514509621745
2,ResNet50-SegNet,0.9717498397827149,0.9733257837688447,0.9717498397827149,0.9725371733431613,0.023450585104448734,0.02046346591517085,0.023450585104448734
3,FCN32-VGG16,0.9213931274414062,0.9210134599410594,0.9213931274414062,0.921203254571906,0.04291320110778315,0.040370747877461206,0.04291320110778315
