,classifier,accuracy,precision,recall,f1_score,accuracy_std,precision_std,recall_std
0,U-Net,0.9346261596679688,0.9386773001618335,0.9346261596679688,0.9366473494875831,0.05244522139820801,0.03641260419431297,0.05244522139820801
1,Attention U-Net,0.9519517517089844,0.9563236733896406,0.9519517517089844,0.9541327044412243,0.030166279074064023,0.021722305958663538,0.030166279074064023
2,ResNet50-SegNet,0.947955093383789,0.9513523840356695,0.947955093383789,0.9496507003434008,0.027626663710908578,0.02224421083691322,0.027626663710908578
3,FCN32-VGG16,0.8289618682861328,0.8318561058932089,0.8289618682861328,0.8304064652566173,0.06030172229358663,0.05248831179343837,0.06030172229358663
