,classifier,accuracy,precision,recall,f1_score,accuracy_std,precision_std,recall_std
0,U-Net,0.9100448926289876,0.9352349424951751,0.9100448926289876,0.9224679819563854,0.07644337654781695,0.045919049659254384,0.07644337654781695
1,Attention U-Net,0.9196481704711914,0.9387735630013777,0.9196481704711914,0.9291124551021421,0.06227981272968511,0.04296827007152178,0.06227981272968511
2,ResNet50-SegNet,0.9140251159667969,0.9367553616336551,0.9140251159667969,0.9252506587489102,0.07065791684619996,0.044300467546885304,0.07065791684619996
3,FCN32-VGG16,0.8272223154703776,0.8846292010935729,0.8272223154703776,0.8549631892492447,0.12575199501733839,0.06253267602644441,0.12575199501733839
